datetime,3s_1min,3s_3min,3s_5min,3s_15min,3s_30min,3s_60min
2013/10/22 20:30,3.305,7.925,7.766,3.545,1.806,2.526
2013/9/6 20:30,2.68,-2.064,6.509,2.131,0.331,-2.664
2013/8/2 20:30,5.103,4.509,4.159,14.349,16.179,14.059
2013/7/5 20:30,-1.436,-4.221,-3.903,-11.123,-8.213,-10.393
2013/6/7 20:30,4.16,5.648,13.248,6.147,-4.003,-12.683
2013/5/3 20:30,-3.606,-10.758,-7.906,-5.568,-1.068,-2.768
2013/4/5 20:30,0.669,7.95,5.05,-0.22,5.592,3.607
2013/3/8 21:30,-5.755,-5.781,-8.088,-3.775,-5.704,-4.895
2013/2/1 21:30,-1.567,-1.404,-0.385,-1.497,-0.723,6.885
2013/1/4 21:30,5.947,5.727,3.167,6.907,10.197,11.567
2012/12/7 21:30,0.683,-4.666,-0.024,-1.304,8.226,11.834
2012/11/2 20:30,0.003,-3.799,-2.78,-7.54,-5.95,-4.551
2012/10/5 20:30,5.385,9.44,7.14,1.41,4.249,3.899
2012/9/7 20:30,5.963,7.54,7.741,16.542,18.638,23.987
2012/8/3 20:30,2.079,-0.65,0.999,0.599,1.372,5.469
2012/7/6 20:30,8.259,8.182,8.254,-3.55,-9.427,-8.619
2012/6/1 20:30,3.752,5.272,16.532,23.727,21.408,42.052
2012/5/4 20:30,-0.112,-1.681,1.87,-0.249,-1.04,-1.513
2012/4/6 20:30,,,,,,
2012/3/9 21:30,-1.2,-7.838,-8.325,-12.912,-17.671,-16.682
2012/2/3 21:30,-3.465,-7.961,-9.515,-12.145,-9.538,-13.69
2012/1/6 21:30,-1.521,-2.321,0.229,-1.001,-1.101,8.081
2011/12/2 21:30,2.87,0.004,-2.862,-5.907,-5.341,-3.707
2011/11/4 20:30,1.451,1.722,2.186,5.135,6.881,3.523
2011/10/7 20:30,-2.801,-2.236,-1.821,3.16,0.158,-0.042
2011/9/2 20:30,1.986,12.062,9.892,7.527,14.165,16.598
2011/8/5 20:30,-4.112,1.094,1.871,-7.172,-4.565,0.935
2011/7/8 20:30,3.306,8.399,8.552,15.436,14.335,16.294
2011/6/3 20:30,1.889,5.615,10.867,6.355,5.233,13.401
2011/5/6 20:30,-1.582,-1.1,2.311,0.532,4.463,9.179
2011/4/1 20:30,-3.393,-5.5,-8.366,-13.522,-10.886,-13.353
2011/3/4 21:30,2.04,0.91,2.64,-0.41,-1.842,2.058
2011/2/4 21:30,0.843,3.582,3.109,1.07,0.94,2.09
2011/1/7 21:30,0.576,9.3,6.817,5.867,9.567,10.067
2010/12/3 21:30,2.394,7.012,9.898,12.577,9.774,10.603
2010/11/5 20:30,-1.412,-1.076,-0.659,-1.576,2.472,3.586
2010/10/8 20:30,3.916,3.91,5.773,7.31,-1.661,3.959
2010/9/3 20:30,-2.864,-3.503,-2.846,-7.004,-8.162,-6.071
2010/8/6 20:30,0.997,2.095,2.512,3.829,11.033,10.749
2010/7/2 20:30,0.603,1.448,1.809,3.46,2.445,6.408
2010/6/4 20:30,0.287,3.12,4.554,-0.393,2.548,3.036
2010/5/7 20:30,0.091,0.904,1.456,1.584,1.739,6.21
2010/4/2 20:30,-0.66,0.23,0.386,0.811,-0.093,-2.927
2010/3/5 21:30,-1.67,-0.994,-3.509,-2.015,-0.569,0.396
2010/2/5 21:30,0.065,-2.952,2.914,0.939,5.12,1.089
2010/1/8 21:30,2.411,6.151,6.366,7.673,14.367,13.376
